iter	Passed	Remaining
647	2665	1447
648	2670	1444
649	2674	1440
650	2678	1435
651	2682	1431
652	2686	1427
653	2690	1423
654	2694	1419
655	2698	1415
656	2702	1410
657	2706	1406
658	2711	1402
659	2715	1399
660	2719	1394
661	2723	1390
662	2726	1386
663	2730	1381
664	2734	1377
665	2739	1373
666	2743	1369
667	2747	1365
668	2751	1361
669	2756	1357
670	2760	1353
671	2764	1349
672	2768	1345
673	2772	1341
674	2776	1337
675	2780	1332
676	2785	1328
677	2789	1324
678	2795	1321
679	2800	1317
680	2805	1314
681	2808	1309
682	2812	1305
683	2817	1301
684	2820	1297
685	2824	1292
686	2828	1288
687	2833	1285
688	2837	1280
689	2841	1276
690	2845	1272
691	2848	1267
692	2852	1263
693	2856	1259
694	2861	1255
695	2865	1251
696	2868	1247
697	2872	1242
698	2877	1239
699	2881	1234
700	2884	1230
701	2888	1226
702	2892	1221
703	2895	1217
704	2899	1213
705	2902	1208
706	2906	1204
707	2910	1200
708	2913	1195
709	2917	1191
710	2921	1187
711	2925	1183
712	2929	1179
713	2933	1174
714	2937	1171
715	2942	1167
716	2945	1162
717	2949	1158
718	2953	1154
719	2957	1150
720	2961	1146
721	2965	1141
722	2970	1138
723	2975	1134
724	2979	1129
725	2983	1125
726	2987	1121
727	2991	1117
728	2995	1113
729	2999	1109
730	3003	1105
731	3006	1100
732	3010	1096
733	3015	1092
734	3019	1088
735	3022	1084
736	3026	1079
737	3030	1075
738	3033	1071
739	3037	1067
740	3041	1062
741	3044	1058
742	3048	1054
743	3053	1050
744	3061	1047
745	3064	1043
746	3068	1039
747	3072	1035
748	3076	1030
749	3080	1026
750	3083	1022
751	3087	1018
752	3091	1013
753	3095	1009
754	3099	1005
755	3104	1001
756	3108	997
757	3111	993
758	3115	989
759	3120	985
760	3124	981
761	3127	976
762	3131	972
763	3135	968
764	3139	964
765	3142	959
766	3146	955
767	3150	951
768	3154	947
769	3158	943
770	3162	939
771	3166	935
772	3170	931
773	3173	926
774	3177	922
775	3181	918
776	3185	914
777	3188	909
778	3192	905
779	3197	901
